	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
0	-1.5039582	-0.8479824	-1.6239674	1.9975797	1.7679569	0.9108083	0.12418972	0.70293176	-1.4692667	0.887923	-0.8796324	0.44548598	0.43334177	-0.5405146	-1.4275188	0.73564065
1	-1.2766464	-0.9146315	-1.4456186	1.575738	1.4718871	0.69630784	0.020872513	0.39556032	-1.2741798	0.64491034	-0.88485914	0.72950315	0.32046396	-0.18689285	-1.2336302	0.7195428
2	-1.438474	-0.9651891	-1.5796338	1.8846767	1.7390544	0.84566206	0.074149765	0.7115804	-1.4476856	0.88334024	-0.948501	0.60461813	0.39231554	-0.58132285	-1.3975816	0.760428
3	-1.4604611	-0.7597567	-1.5741079	1.9483668	1.535865	0.92009485	0.101363525	0.24580055	-1.3192192	0.7466462	-0.7981604	0.58614874	0.38824093	0.08606682	-1.2930912	0.8589172
4	-1.4343995	-0.7029277	-1.5551163	1.8633506	1.5724415	0.8682058	0.065388516	0.10501412	-1.2669524	0.6499435	-0.75016224	0.5880001	0.36747465	0.26599723	-1.254439	0.84850717
5	-1.2797372	-0.9144699	-1.456343	1.5640473	1.4209446	0.7010064	0.039592344	0.378068	-1.2551628	0.68035126	-0.8901487	0.6719942	0.32796508	-0.18793517	-1.2260318	0.67830795
6	-1.3244426	-1.0135572	-1.4886925	1.6569842	1.6393195	0.6442606	-0.120974764	0.6597091	-1.3772082	0.7510636	-0.9672776	0.7710408	0.37108612	-0.5626366	-1.3094424	0.7850783
7	-1.5133455	-0.8631045	-1.632503	2.0235653	1.893935	0.9327472	-0.006469719	0.7953256	-1.5044543	0.9050463	-0.91171426	0.4498576	0.440371	-0.63992655	-1.4390011	0.78212094
8	-1.559849	-0.4180368	-1.6588697	2.0651898	1.7379102	1.0144416	0.038025487	0.70910305	-1.4658262	0.7154592	-0.5808862	0.14308484	0.44941318	-0.52393454	-1.4491618	0.7589265
9	-1.2583467	-0.88923776	-1.4175808	1.625986	1.4562804	0.7103471	-0.0072056744	0.23552245	-1.2081214	0.6653974	-0.8925576	0.76952267	0.29612654	0.07365613	-1.1873835	0.78963137
10	-1.351933	-0.8673408	-1.4949728	1.7774348	1.5212582	0.8087407	0.04476772	0.21370578	-1.2571956	0.68314147	-0.8859187	0.737658	0.34651002	0.12358656	-1.2326437	0.82479227
11	-1.369942	-0.90253615	-1.5110418	1.7767606	1.4991157	0.81321836	0.0701575	0.33170265	-1.2973255	0.73536676	-0.9051599	0.7246783	0.36758044	-0.029420929	-1.2622604	0.8050096
12	-1.5014722	-0.85133666	-1.62483	2.0129838	1.8366015	0.9350188	0.05212034	0.76317626	-1.4853597	0.88325423	-0.8820932	0.43915218	0.43268165	-0.60477954	-1.442267	0.7806414
13	-1.2977238	-0.9782681	-1.4760984	1.597397	1.5800216	0.69796735	-0.04741237	0.58695656	-1.3416327	0.72706723	-0.94844127	0.73255014	0.34118426	-0.48042896	-1.295492	0.75443685
14	-1.439178	-0.95847976	-1.5870897	1.860005	1.7298446	0.8583738	0.059629433	0.72600883	-1.4430585	0.89403605	-0.94744194	0.607122	0.40664038	-0.5804855	-1.4036814	0.7609144
15	-0.8473096	-0.78811175	-1.0904031	1.0320612	0.9736127	0.4211494	-0.07738744	0.2649822	-0.87118596	0.34098735	-0.76252	0.64197946	0.19723794	-0.06624596	-0.9111994	0.46565196
16	-1.5266167	-0.8035067	-1.6448811	2.0663197	1.8019446	0.9854943	0.113177605	0.83312523	-1.5002522	0.9239238	-0.854187	0.3701454	0.4532838	-0.68640053	-1.467079	0.7549651
17	-1.3783675	-0.9733257	-1.5418361	1.7945675	1.7022585	0.7196221	-0.01893494	0.63062495	-1.4017178	0.9033127	-0.96493655	0.64241767	0.35671017	-0.5188505	-1.351188	0.70383143
18	-1.5534314	-0.60816616	-1.6606544	2.0504763	1.7309237	1.0666575	0.13548747	0.85936946	-1.5047272	0.8650877	-0.76502955	0.1920846	0.45094135	-0.77717155	-1.4850578	0.7032922
19	-1.5550641	-0.61662424	-1.6615721	2.0516582	1.8037429	1.0384772	0.116120115	0.8722898	-1.5076296	0.8347468	-0.73010254	0.20987524	0.46791652	-0.7360093	-1.4829844	0.7300641
20	-1.3747847	-0.974529	-1.5409026	1.7352198	1.6560731	0.77816457	0.059925154	0.63618046	-1.4005349	0.8500271	-0.95358896	0.61914307	0.38135245	-0.5454814	-1.3553443	0.6967321
21	-1.496556	-0.77050936	-1.6106496	2.019255	1.6698878	0.9060548	0.10287721	0.5163065	-1.4117632	0.8394608	-0.83284366	0.44672206	0.42028147	-0.29938224	-1.3866767	0.7980086
22	-1.4399488	-0.98402196	-1.5924743	1.867009	1.7363915	0.8816154	0.10003988	0.76286393	-1.4546524	0.9145533	-0.9733744	0.6036314	0.4247864	-0.65504926	-1.417336	0.745859
23	-1.513317	-0.72894067	-1.6275915	2.069483	1.725921	0.9671472	0.0632552	0.6070674	-1.451923	0.82540387	-0.79009074	0.39538246	0.42649397	-0.40425473	-1.4186592	0.8272136
24	-1.3671498	-0.9420209	-1.5263733	1.727695	1.5968148	0.74515224	0.038159728	0.5497637	-1.3674988	0.8418619	-0.92649895	0.6345142	0.3566039	-0.41217968	-1.3275044	0.70960283
25	-1.1454444	-0.90863913	-1.3466588	1.3419614	1.3106791	0.52711666	-0.105478436	0.44301432	-1.1902423	0.60831606	-0.866724	0.66569775	0.26869664	-0.36284405	-1.1540234	0.6065092
26	-1.36389	-0.93524283	-1.5240493	1.7641892	1.6347889	0.77764887	0.061730463	0.4521979	-1.3376378	0.76482785	-0.9087786	0.7013217	0.36930606	-0.21512471	-1.3006384	0.77020395
27	-1.5142789	-0.8873196	-1.630747	1.999738	1.9240288	0.9713887	-0.07862694	0.8384035	-1.5178577	0.899749	-0.9204571	0.46241555	0.42877704	-0.72270125	-1.4497411	0.8590752
28	-1.4297322	-0.939982	-1.5738624	1.928758	1.8005221	0.8624322	-0.025033766	0.5967756	-1.4161434	0.8126543	-0.93094504	0.66860676	0.39332694	-0.3335755	-1.3655418	0.8168773
29	-1.2865133	-0.9120746	-1.4379175	1.6171467	1.5047674	0.67755514	-0.045252874	0.38603953	-1.2786034	0.62006605	-0.9163194	0.7543362	0.32684827	-0.1868065	-1.2332392	0.75773805
30	-0.8628509	-0.78384185	-1.0971193	0.95816004	0.9388017	0.3944737	-0.059758935	0.3234978	-0.91222364	0.3717666	-0.75688404	0.58824164	0.20378818	-0.2487717	-0.9316508	0.45277125
31	-1.3781496	-0.99708	-1.5437262	1.7616321	1.6724014	0.7212655	0.023069832	0.7081059	-1.4092033	0.9076744	-0.97408485	0.6359148	0.39706132	-0.5483531	-1.3664081	0.67832714
32	-1.4767991	-0.94056356	-1.6134428	1.9769478	1.8070148	0.91744053	0.088596545	0.79626	-1.4806824	0.938101	-0.94565034	0.5155812	0.42386007	-0.66285634	-1.4356794	0.7185587
33	-1.1597147	-0.9597629	-1.3764372	1.3914913	1.4022065	0.5918213	-0.02250384	0.5266791	-1.2248548	0.5921686	-0.90488195	0.76072466	0.29622266	-0.4437598	-1.1953707	0.645614
34	-1.1480606	-0.90801114	-1.334578	1.3354442	1.3098115	0.56701934	-0.05274524	0.44025084	-1.1970665	0.56395024	-0.8803605	0.6772698	0.2836337	-0.38301188	-1.1616864	0.6197802
35	-1.4728675	-0.84237576	-1.5933359	1.9207098	1.712012	0.93238497	0.03701106	0.5956328	-1.4336344	0.8136091	-0.8873166	0.53167135	0.4102228	-0.4551656	-1.3915163	0.82626086
36	-1.565425	-0.6057741	-1.6580186	2.096823	1.8496748	1.039991	0.016216753	0.8806473	-1.5311084	0.8454135	-0.7646497	0.20380183	0.47717616	-0.78146464	-1.4892876	0.79599845
37	-1.2911073	-0.9805146	-1.4725944	1.606592	1.5422088	0.6885512	0.030290812	0.551572	-1.3100383	0.77881026	-0.9482872	0.6851137	0.335304	-0.40031058	-1.2855041	0.6961622
38	-1.4327093	-0.92850435	-1.5602467	1.8960937	1.733189	0.84760576	0.003803523	0.5988071	-1.4241667	0.8150958	-0.9357674	0.59479606	0.38106146	-0.45246708	-1.387969	0.8151523
39	-1.1297963	-0.8860299	-1.3360153	1.3103033	1.2509725	0.5357697	0.019348979	0.40738583	-1.157965	0.599967	-0.8522283	0.65737474	0.27087077	-0.3069012	-1.1502112	0.56806594
40	-1.1397768	-0.9241431	-1.3473688	1.3519236	1.3536457	0.5582588	-0.0075515457	0.46715128	-1.1912001	0.55972743	-0.8843739	0.72732455	0.30521825	-0.3468826	-1.169222	0.63125753
41	-1.2416455	-0.8975206	-1.413446	1.6273094	1.4744738	0.70656276	0.015165565	0.16341856	-1.1467146	0.6729719	-0.885055	0.79657847	0.29780325	0.16871297	-1.153563	0.8045731
42	-1.4263368	-0.93798476	-1.5736241	1.8821259	1.7187835	0.8570216	0.04085587	0.58822435	-1.4137137	0.85073274	-0.933796	0.62757546	0.37596697	-0.4003664	-1.3663294	0.77220154
43	-0.82065827	-0.7185258	-1.0467839	0.8997692	0.8713832	0.3872006	-0.002642197	0.22984476	-0.8327813	0.33434612	-0.69728583	0.5491515	0.19049966	-0.11082446	-0.8830287	0.41599095
44	-1.3678727	-0.91257894	-1.5239751	1.7415502	1.5615444	0.74265146	0.025021467	0.4227122	-1.3377084	0.7556223	-0.9036828	0.6976759	0.3702726	-0.22354604	-1.2883347	0.736543
45	-1.2835389	-0.9800908	-1.4730864	1.584011	1.5320086	0.6805311	0.040340107	0.5785795	-1.3363962	0.7397739	-0.93935585	0.6859018	0.34891847	-0.4954609	-1.2939036	0.67263144
46	-1.3862427	-0.98749095	-1.5469891	1.7659376	1.7148212	0.7711519	-0.014266059	0.68284905	-1.4150717	0.81104356	-0.9597642	0.66552436	0.39265233	-0.54387534	-1.355778	0.7594822
47	-1.2689234	-0.9023604	-1.4392816	1.586191	1.4669805	0.6800981	0.0071194796	0.34633428	-1.2396095	0.67461437	-0.89281553	0.7516001	0.3118688	-0.06830279	-1.2141542	0.7331714
48	-1.442769	-0.93533903	-1.5681434	1.9350181	1.7356629	0.8460833	-0.0027360243	0.6020359	-1.433115	0.8298669	-0.9435891	0.63623714	0.41545057	-0.4714961	-1.3697776	0.8502286
49	-1.2875997	-0.97024876	-1.4786212	1.5731254	1.5090282	0.6913952	0.044454366	0.5620434	-1.3238639	0.745701	-0.93878496	0.6746377	0.3370932	-0.49491122	-1.2839525	0.66879183
50	-1.4809362	-0.6464861	-1.5798798	1.9858152	1.5441662	0.93718004	0.09362559	0.13041744	-1.3010652	0.7148528	-0.7576385	0.5400439	0.3870335	0.1887843	-1.2889746	0.905772
51	-1.2892413	-0.95158243	-1.4727118	1.5706385	1.4852643	0.69388646	0.050184734	0.50734305	-1.2964991	0.737695	-0.91948825	0.6857466	0.34453398	-0.40278658	-1.2704223	0.6722656
52	-1.4449266	-0.9212465	-1.5703106	1.8705299	1.7500309	0.81153995	-0.09394604	0.63595545	-1.4382044	0.823934	-0.9176634	0.6098741	0.3910017	-0.48647565	-1.368168	0.8590118
53	-1.4706528	-0.9038792	-1.606304	1.9761944	1.7750382	0.8875607	0.09156799	0.68480724	-1.4531181	0.93231905	-0.92509884	0.51346284	0.43254304	-0.54274595	-1.4171065	0.73961204
54	-1.5665431	-0.553141	-1.6730798	2.0747862	1.790788	1.0579726	0.11229851	0.9710709	-1.5266272	0.82236534	-0.69885147	0.112886354	0.4709234	-0.85517573	-1.5070589	0.6804843
55	-1.360897	-0.8978415	-1.5086035	1.7487981	1.6128918	0.76605594	-0.04040444	0.38015616	-1.3224928	0.71689546	-0.8870242	0.728891	0.37893397	-0.09001087	-1.2732896	0.8207161
56	-1.3763155	-0.94036865	-1.5266796	1.7568542	1.6405212	0.7700202	0.031411014	0.52883595	-1.3626286	0.7800162	-0.92358273	0.65224516	0.37296453	-0.3347732	-1.3209188	0.75439644
57	-1.383003	-0.99404246	-1.5473051	1.7602499	1.6563363	0.78659296	0.0559824	0.66185087	-1.405056	0.84111017	-0.9559913	0.6648676	0.39077076	-0.54520047	-1.3533759	0.7200651
58	-1.5609201	-0.63149893	-1.6611294	2.0891356	1.8932121	0.9887169	-0.014797428	0.9165786	-1.5315385	0.83989686	-0.7693847	0.18253152	0.47202122	-0.7676213	-1.48501	0.78023857
59	-1.3664342	-0.9310775	-1.5279247	1.7482495	1.5966135	0.7929785	0.061548468	0.49357277	-1.3574384	0.75065905	-0.9224944	0.6641076	0.36609814	-0.3245427	-1.3105785	0.748559
60	-1.4407207	-0.919351	-1.5812958	1.8448032	1.668628	0.86409724	0.00732001	0.61163944	-1.4176866	0.8860569	-0.93541163	0.5652673	0.3754474	-0.47270623	-1.3648367	0.7930252
61	-1.424364	-0.8124301	-1.5532708	1.8509903	1.4655793	0.9573272	0.09888476	0.27453896	-1.3285748	0.7451858	-0.8864952	0.6793667	0.36814478	-0.09686964	-1.2823566	0.8906226
62	-1.2736857	-0.92419463	-1.4453087	1.6103412	1.4844997	0.68231434	-0.01099172	0.38114578	-1.2667536	0.69047475	-0.9029647	0.7325374	0.32171577	-0.21382177	-1.2274572	0.7348577
63	-1.4939802	-0.7887636	-1.6206651	1.9482864	1.6588718	0.9977414	0.14161283	0.5355043	-1.4077331	0.7902556	-0.8182768	0.46863768	0.44165528	-0.28277734	-1.384023	0.77964044
64	-1.5224644	-0.72216505	-1.6301754	2.0758858	1.8039172	0.9705418	0.040355325	0.6639449	-1.4741517	0.8248307	-0.81837475	0.4066918	0.4460625	-0.4703891	-1.429398	0.8368596
65	-1.4382061	-0.9316836	-1.5775281	1.9045185	1.7075378	0.84167665	0.03315974	0.6212895	-1.4300076	0.84801143	-0.94185	0.61088455	0.40332463	-0.4833104	-1.3697486	0.8207008
66	-1.1050235	-0.8600506	-1.3149735	1.3591604	1.2450539	0.5805891	-0.0067722076	0.24842006	-1.0891461	0.5637175	-0.8442291	0.7288714	0.26017645	0.010410661	-1.0837864	0.64809847
67	-1.1355296	-0.88263184	-1.3193247	1.3580899	1.2819171	0.546234	-0.07462303	0.37886798	-1.155301	0.5046394	-0.8684551	0.71105665	0.29474097	-0.2462661	-1.1423552	0.6208317
68	-1.4379691	-0.96194446	-1.5847368	1.8707142	1.7242333	0.8480537	0.12991339	0.7122732	-1.4371269	0.92868406	-0.97080696	0.5752599	0.4007012	-0.5970558	-1.4083635	0.68718565
69	-1.3707509	-0.93787557	-1.5349327	1.7635087	1.645007	0.79291016	-0.012434237	0.5350598	-1.3708742	0.78549093	-0.9232358	0.68979174	0.36836472	-0.35240453	-1.3168821	0.777587
70	-1.3863959	-0.9991922	-1.5489138	1.7546965	1.6799977	0.7971591	0.06326607	0.7190833	-1.4104309	0.8512841	-0.9638982	0.6627227	0.4030703	-0.6100192	-1.373062	0.7135875
