	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
0	-1.5946758	0.012495183	-1.5273103	-0.575189	1.7059312	0.18736951	1.1363989	-0.29691136	-1.0486088	2.4000926	-1.531345	-0.66652167	-1.2379284	0.3561434	1.0882446	0.6423316
1	-1.5531037	-0.01881463	-1.4660378	0.007680071	1.4478116	0.14431827	1.0934598	-0.21738635	-0.7637515	1.9969071	-1.2831701	0.1021121	-1.2854409	0.17402653	1.0547789	0.5820158
2	-1.5769242	-0.088181116	-1.5225586	-0.78967905	1.6682885	0.1243695	0.9992915	-0.30586156	-1.1756322	2.2507625	-1.5930746	-1.0457429	-1.1374415	0.39286298	1.1150112	0.5924384
3	-1.5017064	0.010455785	-1.4096786	-0.15542641	1.1868181	0.1305359	0.95308656	-0.09060405	-0.7812682	1.8984095	-1.2361519	-0.20802616	-1.1975831	0.2574418	0.894882	0.54568756
4	-0.91333526	-0.11338098	-0.82143366	0.16708247	0.28195387	-0.16007262	0.32422417	0.13654691	-0.1510963	0.53420085	-0.11543604	0.32200757	-0.8904048	0.042726606	0.18915866	0.18753056
5	-1.522649	-0.074419565	-1.4971107	-0.88272405	1.4693464	0.08117495	0.8200016	-0.14940906	-1.2239974	2.0915072	-1.6005052	-1.241237	-1.1222892	0.31091172	0.885699	0.48667195
6	-1.5342958	-0.04306535	-1.4484972	0.019205663	1.3141353	0.11247212	1.0214057	-0.08567354	-0.7783673	1.9291868	-1.2378426	-0.092755936	-1.2906756	0.15626557	1.0019438	0.5376636
7	-1.5661211	-0.06685886	-1.5066115	-0.45253938	1.4900357	0.14717644	1.0182037	-0.08826012	-1.0509303	2.145898	-1.4557852	-0.8401699	-1.2344682	0.334637	1.0604792	0.5903442
8	-1.4763789	-0.032863174	-1.4072776	-0.5232219	1.2159429	0.12236014	0.8613003	-0.08761748	-0.9223739	1.8902568	-1.3556603	-0.72869617	-1.0551976	0.32941982	0.8882176	0.49200895
9	-1.5326223	0.034072906	-1.4494009	-0.3676604	1.3872994	0.14852354	0.9944551	-0.18291989	-0.8659523	1.998512	-1.3691678	-0.44398132	-1.1993246	0.26521844	0.99703205	0.5823636
10	-1.5896025	-0.038691998	-1.5408608	-0.7658188	1.7858993	0.22602375	1.0762756	-0.30758843	-1.2095451	2.3337464	-1.5851474	-1.0582893	-1.2347183	0.38712212	1.1060287	0.5641032
11	-1.565707	-0.25069597	-1.5428914	-1.0412036	1.7406703	0.09272089	0.9048716	-0.13184729	-1.3504014	2.4196513	-1.6570767	-1.4699391	-1.0032272	0.31577832	0.98691386	0.46083966
12	-1.5542665	0.028831255	-1.4917177	-0.53444886	1.4565011	0.20163886	1.0329075	-0.07434177	-1.0236148	2.1984243	-1.4301877	-0.88512355	-1.2052891	0.35844275	1.0246589	0.5674343
13	-1.6215488	-0.049897175	-1.5465051	-0.47096267	1.7563548	0.18945017	1.2201222	-0.38471717	-1.0676507	2.4250376	-1.5267392	-0.544071	-1.2997416	0.27047598	1.2414292	0.68506324
14	-1.5634558	-0.12376366	-1.5200869	-0.75057185	1.5555329	0.15814978	0.97936016	-0.06579143	-1.1813813	2.1451375	-1.5422901	-1.1426059	-1.2331271	0.3468059	1.0962898	0.54496616
15	-1.6070228	-0.08590873	-1.5481447	-0.48074785	1.6210687	0.12702538	1.145296	-0.1361266	-1.1192493	2.3158433	-1.5082903	-0.9090206	-1.2596767	0.31483394	1.2158666	0.644553
16	-1.5425836	0.005181814	-1.4790756	-0.4965395	1.394687	0.15983348	0.9640028	-0.01688004	-0.9871752	2.153504	-1.4213867	-0.8041629	-1.2389768	0.34056503	0.98299026	0.5530496
17	-1.5051737	0.0001292086	-1.4046128	0.10013645	1.2309049	0.10973456	0.9939544	-0.07287402	-0.6448014	1.832723	-1.0758814	0.18658842	-1.2546016	0.1305464	0.9231454	0.5217626
18	-1.5067397	-0.06700254	-1.4107587	0.17260334	1.1198808	0.080448136	0.99166745	-0.1115791	-0.6699197	1.7558014	-1.0922468	0.17959139	-1.2422677	0.11985267	0.93551695	0.56921756
19	-0.9133238	-0.11338108	-0.82141984	0.16708344	0.28193823	-0.16007514	0.3242178	0.13654757	-0.15108699	0.5341881	-0.11540924	0.32200256	-0.8904024	0.04272775	0.18915178	0.18752673
20	-1.5791615	-0.077490844	-1.5330583	-0.6642685	1.6248473	0.15824871	1.0707524	-0.23364173	-1.1256979	2.2937894	-1.5687459	-1.0060322	-1.292932	0.36712816	1.0044595	0.6028898
21	-1.5370728	-0.048865344	-1.4586527	-0.31411892	1.3285321	0.1369684	1.0008398	-0.08425399	-0.8952991	2.0951958	-1.3750765	-0.535577	-1.2324675	0.23075664	0.9692861	0.5299791
22	-1.5735916	-0.098939136	-1.5383539	-0.6584111	1.6487199	0.15504107	1.061087	-0.20505935	-1.1820024	2.375844	-1.5520413	-1.1446265	-1.222447	0.26881364	1.2189434	0.5601503
23	-1.5294559	-0.043907724	-1.457996	-0.35404307	1.3234571	0.1023128	0.9769508	-0.058483798	-0.95207715	1.9448851	-1.3595467	-0.6555402	-1.1918615	0.27131027	1.0073799	0.546198
24	-1.5924418	-0.12735948	-1.5490857	-0.9409248	1.837764	0.14581275	1.0116005	-0.3839218	-1.2949947	2.3915498	-1.6483036	-1.2354017	-1.0396036	0.4799036	1.1507162	0.5921921
25	-1.4962454	0.00089623255	-1.4196823	-0.13072829	1.0926605	0.09058109	0.95030963	-0.020800887	-0.78362864	1.9065943	-1.2286572	-0.35304064	-1.2398546	0.2196891	0.8531251	0.5220177
26	-1.5291487	-0.058425292	-1.4487259	-0.04574635	1.2959718	0.13208602	1.0383841	-0.10184971	-0.7851341	1.9032	-1.2668271	-0.060655728	-1.2750633	0.16929634	0.988969	0.5393557
27	-1.5527421	-0.1445776	-1.5065696	-0.62905645	1.4466339	0.15188761	0.9895056	-0.107175276	-1.1286355	2.1864574	-1.515396	-1.0694468	-1.1123081	0.34701917	1.0539148	0.555653
28	-1.473137	-0.02639736	-1.4090488	-0.44848955	1.2292807	0.12450083	0.8542134	-0.09940745	-0.92082536	1.7963192	-1.3540553	-0.6819256	-1.1584864	0.28350174	0.86950696	0.48449704
29	-1.5654812	-0.11491338	-1.5048542	-0.71025777	1.5526853	0.11942194	0.9611418	-0.15506391	-1.1101482	2.1439743	-1.5504701	-0.9814652	-1.2282814	0.34141016	0.9851623	0.61038435
30	-1.44529	-0.11623588	-1.3376435	0.2970662	1.0124968	-0.04937882	0.8611982	0.008416288	-0.4511853	1.437904	-0.81540996	0.4534521	-1.2473702	0.036506794	0.7882559	0.45908225
31	-1.5757598	-0.012139095	-1.4849701	0.048075028	1.5272573	0.15114309	1.1472827	-0.19480225	-0.7578324	2.1127915	-1.2909606	0.20731287	-1.3278596	0.13361731	1.1282059	0.6116567
32	-1.5710162	0.027784294	-1.5141641	-0.7249853	1.4559435	0.07351111	0.9548129	-0.0029276307	-1.1623892	2.2863302	-1.5417421	-1.0671091	-1.2379797	0.36087796	1.0356665	0.5773252
33	-1.5628388	-0.09476919	-1.5135044	-0.9175763	1.6208475	0.046922587	0.8736727	-0.239947	-1.2355098	2.1760287	-1.6162308	-1.215892	-1.1282861	0.41702303	1.0202659	0.5732781
34	-1.4146888	-0.081925824	-1.3040047	0.2518613	0.9462669	-0.025476541	0.810208	0.0053713163	-0.46405518	1.4154136	-0.8148009	0.3457236	-1.2110994	0.052391965	0.73388445	0.4302281
35	-1.5818236	0.0011613781	-1.5191888	-0.37065497	1.53854	0.19999915	1.1001923	-0.13036424	-1.030833	2.2386768	-1.4437156	-0.77858055	-1.2671416	0.27966523	1.1787667	0.61085814
36	-1.555201	-0.06837109	-1.5044786	-0.87100774	1.6699556	0.13113509	0.888811	-0.24271809	-1.1995401	2.1407647	-1.591641	-1.1614475	-1.1281959	0.39891937	1.0528812	0.56825817
37	-1.5612974	-0.05563038	-1.5197656	-0.82099324	1.6277047	0.12111029	0.9780236	-0.26311195	-1.1642169	2.309466	-1.5920438	-1.0797007	-1.1825815	0.35315263	0.9765871	0.5767049
38	-1.5561314	-0.06801749	-1.5209937	-0.7561165	1.516536	0.13329242	1.0030836	-0.06911363	-1.1893975	2.2440426	-1.5358692	-1.2015641	-1.1238121	0.4242328	1.0701727	0.54305744
39	-1.5961198	0.039868392	-1.521025	-0.3359178	1.6683776	0.1703042	1.1271521	-0.22893186	-0.97092736	2.3967693	-1.4669195	-0.477595	-1.282095	0.26917866	1.1454084	0.64480954
40	-1.5846194	0.00061064714	-1.5192156	-0.527245	1.7217549	0.21476573	1.1032262	-0.31805184	-1.053291	2.2599857	-1.528626	-0.6596684	-1.2527788	0.3491016	1.088545	0.635456
41	-0.9133046	-0.113383174	-0.8214045	0.16707964	0.28192875	-0.160079	0.32420576	0.13654876	-0.15107737	0.53416985	-0.11539004	0.32200682	-0.89039075	0.042727027	0.18913834	0.18752448
42	-1.5264617	-0.032561645	-1.4374511	-0.12473584	1.2988667	0.14667872	0.99422926	-0.10424434	-0.8101503	1.9532844	-1.2662954	-0.2019314	-1.2278568	0.22185707	0.9451059	0.54099816
43	-1.535496	-0.027601644	-1.469358	-0.5181749	1.413145	0.13447106	0.95452607	-0.18314223	-1.0165143	2.082964	-1.4617645	-0.8011165	-1.1810791	0.32951456	1.0097739	0.58860993
44	-1.5731258	-0.23624045	-1.5480604	-1.0142932	1.7522753	0.056485865	0.9229447	-0.22275113	-1.3098409	2.3024762	-1.6609092	-1.343673	-1.157605	0.4409367	0.8868891	0.5245058
45	-1.5852207	-0.19038622	-1.5420465	-0.85153437	1.6711948	0.084862575	0.98327196	-0.24432477	-1.2314203	2.2546299	-1.6240811	-1.1963441	-1.2300462	0.3941571	1.0851971	0.58412546
46	-1.5540386	0.022381553	-1.4912432	-0.8069873	1.5491159	0.13100109	0.92884874	-0.2308539	-1.1334385	2.189475	-1.5558597	-0.99540025	-1.1241131	0.42110693	0.9558723	0.59779173
47	-1.496028	-0.013239209	-1.4114549	-0.18842062	1.0903851	0.14183377	0.92516494	0.025513014	-0.79296595	1.9235575	-1.2117383	-0.39736456	-1.2157459	0.2125552	0.8207835	0.5060385
48	-1.5155429	-0.16428302	-1.4596176	-0.5257522	1.3468834	0.12902623	0.9132119	-0.10651981	-0.9967336	1.9355594	-1.4498534	-0.8227221	-1.2265136	0.2887441	0.90390575	0.529256
49	-1.5691793	-0.052867007	-1.5345978	-0.9044388	1.7182221	0.1649945	0.9892133	-0.3417439	-1.2714318	2.369134	-1.6281093	-1.253608	-1.0216572	0.43624607	1.1237783	0.6030738
50	-1.5809684	-0.09595362	-1.5403805	-0.9575135	1.7598065	0.09168318	0.9543129	-0.2912589	-1.2733365	2.358114	-1.6420636	-1.2470992	-1.1020069	0.45437697	0.9887335	0.580097
51	-1.5651228	-0.20252337	-1.549366	-0.99575716	1.6861289	0.079174064	0.94526803	-0.32392865	-1.3393576	2.3762393	-1.6680421	-1.3744466	-1.0497433	0.46025723	1.0770788	0.5071754
52	-1.4721	-0.017032834	-1.3929638	-0.23847112	1.1316985	0.114407964	0.8799318	0.0069626677	-0.82070214	1.7589736	-1.2219081	-0.47987434	-1.1719652	0.23334631	0.8404499	0.48418176
53	-1.5873704	-0.015582354	-1.5256546	-0.67213374	1.6203756	0.12044998	1.0633017	-0.26375052	-1.1329308	2.2871518	-1.5618321	-0.96511126	-1.1300195	0.3909931	1.150625	0.62947583
54	-1.6086062	-0.0798145	-1.5589219	-0.832627	1.850181	0.13389765	1.0637999	-0.27964205	-1.2285299	2.4172368	-1.620554	-1.1093596	-1.238354	0.35443512	1.2281402	0.65964484
55	-1.5336592	-0.05632639	-1.4368858	0.16355085	1.3107466	0.093194954	1.0372368	-0.12935577	-0.63222754	1.9063511	-1.1200061	0.25338647	-1.2932856	0.11401766	0.97818124	0.5500157
