	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
0	0.7214237	1.0042416	-0.73743266	-0.7647166	1.9349978	-1.390368	0.14278847	0.3427476	-1.6798822	0.009111915	-0.82006603	-0.65095496	0.90152615	2.769251	0.47975463	-0.23887622
1	0.89463407	0.98601335	-0.73444664	-0.90343225	1.9935887	-1.3427671	-0.022093333	0.49122834	-1.7600883	0.13400394	-0.8608896	-0.80734205	0.85364544	2.6620362	0.38587505	-0.5713552
2	-1.1223006	1.6899496	-1.4474974	-1.8393066	4.234424	-2.8022933	0.118838765	3.4551263	-0.6564641	-1.2282629	-2.5042233	-1.4619104	2.6008909	5.8783436	0.2868133	1.9499975
3	-0.31878722	1.5587021	-0.8559037	-2.0575328	2.6995108	-2.5707579	-0.88159496	2.4740262	-1.7404319	-0.13711944	-1.6989423	-1.5678627	1.5044216	4.0993633	0.4316777	-0.33795542
4	-1.0319101	1.8362743	-0.8789239	-2.491924	3.1349442	-3.23598	-1.1286093	3.5328612	-1.4258376	-0.44223845	-2.0962152	-1.9590367	1.9050641	5.09394	0.3377357	-0.049535394
5	0.35488105	0.65813243	-0.81310296	-0.36995625	3.0383234	-1.3790547	0.46874556	0.8511938	-1.0907768	-0.7287247	-1.628125	-0.9983289	1.3935474	3.452321	0.4249905	1.1510531
6	0.8051421	0.9908907	-0.7639526	-0.8369131	1.8740518	-1.3870782	0.047902353	0.38453817	-1.7256482	0.10628188	-0.77841264	-0.7103323	0.8338548	2.6616278	0.4356589	-0.452895
7	-5.264746	4.7314625	-3.5550296	-4.193731	9.172506	-4.845015	2.6371896	9.697788	2.2867596	-4.874695	-4.5844226	-4.3972163	5.1920886	12.415122	0.05457494	9.817084
8	-3.8176293	3.2354064	-3.2964067	-4.7751575	6.6168866	-5.7068906	-0.64597565	8.955713	-0.18407132	-1.9515725	-4.3641553	-3.943017	4.7919917	10.753621	-0.27851	3.2867463
9	-0.6625333	1.487353	-1.1733019	-0.943296	3.5828497	-2.2985368	0.74718285	1.9573487	-0.41694975	-1.5847454	-1.7560657	-1.2393972	1.8841217	4.8443623	0.67257947	2.2757611
10	-0.178858	1.2966259	-0.7529042	-1.3823395	2.7643976	-2.0549374	-0.3361193	1.6106524	-1.4360316	-0.5007273	-1.4789116	-1.175497	1.4344236	3.9900799	0.53067374	0.4866328
11	0.07258977	0.9513411	-1.0389794	-0.79185075	2.6756914	-1.9823798	0.23769945	1.2181121	-1.1405301	-0.51541597	-1.547361	-0.82497203	1.6688918	3.8853645	0.45941982	0.6129303
